City,Lat,Lon,Max_temp,Humidity,Cloudiness,Winds,Country,Date
High Level,58.52,-117.14,277.15,86,75,3.1,CA,1607394970
Sechura,-5.56,-80.82,294.32,75,100,5.75,PE,1607394970
Kahului,20.89,-156.47,300.15,69,40,10.3,US,1607394970
Tigil',57.8,158.67,260.25,91,0,2.0,RU,1607394970
Cabo San Lucas,22.89,-109.91,293.15,56,20,1.5,MX,1607394970
Mandāwar,29.5,78.13,289.31,48,54,2.19,IN,1607394690
Borogontsy,62.67,131.17,243.29,87,75,1.81,RU,1607394970
Philadelphia,39.95,-75.16,274.26,50,20,4.1,US,1607394858
Grand Baie,-20.02,57.58,299.26,77,8,1.34,MU,1607394806
Tshikapa,-6.42,20.8,293.76,93,100,0.41,CD,1607394971
Biak,-0.91,122.88,301.31,72,98,0.94,ID,1607394971
Nador,35.17,-2.93,284.15,81,40,1.5,MA,1607394971
Chicama,-7.84,-79.15,293.66,79,100,2.61,PE,1607394971
Matola,-25.96,32.46,297.04,83,40,2.1,MZ,1607394971
Hamilton,39.18,-84.53,273.15,90,90,3.6,US,1607394952
Lorengau,-2.02,147.27,303.77,62,72,3.57,PG,1607394971
Muravlenko,63.79,74.52,251.09,86,0,3.94,RU,1607394971
Skjervøy,70.03,20.97,273.32,87,100,4.21,NO,1607394972
Mercedes,-34.65,-59.43,292.04,63,16,1.79,AR,1607394972
Zamora,-4.07,-78.96,292.55,66,100,0.81,EC,1607394972
West Wendover,40.74,-114.07,268.15,49,1,2.6,US,1607394972
Sesheke,-17.48,24.3,293.73,87,100,0.83,ZM,1607394972
Alihe,50.57,123.72,262.05,83,0,1.34,CN,1607394972
Fengrun,39.83,118.12,272.59,63,0,1.99,CN,1607394972
Santa Inês,-3.67,-45.38,296.91,93,100,1.53,BR,1607394972
Curillo,1.03,-75.92,295.52,97,100,1.45,CO,1607394972
Salalah,17.02,54.09,294.15,64,0,2.6,OM,1607394972
Kumul,42.8,93.45,269.06,76,100,0.85,CN,1607394972
Pacific Grove,36.62,-121.92,290.37,40,1,4.6,US,1607394706
Fare,-16.7,-151.02,300.32,75,76,5.63,PF,1607394973
Havelock,34.88,-76.9,277.59,100,90,9.8,US,1607394973
Hambantota,6.12,81.12,298.15,100,20,1.0,LK,1607394683
Vardø,70.37,31.11,272.62,92,22,2.7,NO,1607394973
Zhangye,38.93,100.45,267.55,84,12,0.92,CN,1607394973
Presidencia Roque Sáenz Peña,-26.79,-60.44,292.58,68,0,3.41,AR,1607394835
Ciudad Juárez,31.73,-106.48,284.82,23,40,2.39,MX,1607394823
Maltahöhe,-24.83,16.98,287.87,47,0,3.45,NA,1607394973
Waipawa,-41.41,175.52,293.15,68,100,7.7,NZ,1607394973
Bograd,54.23,90.83,267.15,62,0,5.0,RU,1607394973
Honiara,-9.43,159.95,304.15,70,75,6.2,SB,1607394973
Samarai,-10.62,150.67,303.06,71,14,4.78,PG,1607394973
San Miguel de Tucumán,-26.82,-65.22,295.15,73,0,1.79,AR,1607394974
Tolaga Bay,-38.37,178.3,298.69,52,100,6.33,NZ,1607394974
Qinggang,46.68,126.08,261.9,89,0,3.57,CN,1607394974
Colares,38.8,-9.45,288.15,93,99,11.52,PT,1607394974
Takahagi,36.72,140.72,285.93,49,8,4.02,JP,1607394974
Arawa,-6.21,155.54,302.27,72,98,1.35,PG,1607394974
Mbalmayo,3.52,11.5,295.15,100,75,1.0,CM,1607394693
Kiruna,67.86,20.23,264.15,92,90,0.82,SE,1607394974
Nara,34.69,135.8,289.26,47,20,3.6,JP,1607394974
Bellinge,55.34,10.32,279.15,87,98,2.1,DK,1607394974
Hualmay,-11.1,-77.61,292.46,83,100,2.99,PE,1607394974
Payo,-3.75,103.64,303.11,60,75,1.84,ID,1607394975
Roebourne,-20.78,117.13,305.05,51,79,6.76,AU,1607394975
Moree,-29.47,149.85,298.15,20,0,8.2,AU,1607394975
Neustadt an der Waldnaab,49.71,12.09,274.15,86,90,1.15,DE,1607394975
Portland,45.52,-122.68,280.93,70,90,6.2,US,1607394624
Kothi,24.75,80.78,293.5,36,0,1.23,IN,1607394975
Eureka,40.8,-124.16,282.59,87,1,1.5,US,1607394919
Fuling,29.7,107.39,284.74,62,41,0.51,CN,1607394975
Saint-Pierre,-21.34,55.48,297.15,69,75,1.0,RE,1607394831
Surin,14.88,103.49,296.48,67,58,7.17,TH,1607394975
Alizai,33.54,70.35,283.83,75,100,0.6,PK,1607394877
George Town,5.41,100.34,302.15,78,20,4.1,MY,1607394737
Plaridel,14.89,120.86,302.15,79,75,3.6,PH,1607394976
Pevek,69.7,170.31,260.05,89,6,2.1,RU,1607394976
Almaty,43.25,76.95,266.15,92,90,1.0,KZ,1607394798
Hay River,60.82,-115.8,265.15,92,100,1.5,CA,1607394976
Dukat,62.55,155.55,247.33,89,69,0.93,RU,1607394867
Sri Aman,1.24,111.46,302.15,83,40,0.5,MY,1607394976
Zhigansk,66.77,123.37,239.48,86,73,0.89,RU,1607394976
Yagodnoye,62.55,149.67,241.98,84,91,0.83,RU,1607394976
Sittwe,20.15,92.9,295.93,55,61,2.76,MM,1607394976
Kruisfontein,-34.0,24.73,290.93,97,2,3.23,ZA,1607394976
Loukhi,66.08,33.04,270.09,96,85,4.13,RU,1607394976
Raja,8.46,25.68,292.51,26,93,1.84,SS,1607394976
Cap Malheureux,-19.98,57.61,299.26,76,6,0.89,MU,1607394977
Tabuk,17.42,121.44,299.49,83,100,0.67,PH,1607394977
Gallup,35.53,-108.74,274.15,36,1,2.45,US,1607394765
Nishihara,26.18,127.76,296.15,78,90,7.2,JP,1607394977
Kununurra,-15.77,128.73,306.15,55,40,3.6,AU,1607394977
Tefé,-3.35,-64.71,296.67,98,100,1.04,BR,1607394909
Birao,10.28,22.79,292.46,27,99,2.97,CF,1607394977
Tromsø,69.65,18.96,270.37,79,0,5.1,NO,1607394977
Port Blair,11.67,92.75,300.92,69,69,6.19,IN,1607394977
Niquero,20.04,-77.58,297.57,84,85,2.83,CU,1607394977
Wad Medani,14.4,33.52,290.98,36,19,4.97,SD,1607394844
Bilibino,68.05,166.44,255.35,90,97,0.59,RU,1607394866
Bara,10.37,10.73,295.85,23,24,2.65,NG,1607394978
Cukai,4.25,103.42,299.15,88,40,2.1,MY,1607394978
Kavaratti,10.57,72.64,301.64,76,28,7.94,IN,1607394978
Mamlyutka,54.94,68.54,263.15,85,40,6.0,KZ,1607394978
Vokhma,58.93,46.76,263.86,93,16,3.31,RU,1607394978
Barra de Tecoanapa,16.52,-98.75,298.94,77,70,2.12,MX,1607394978
Pangai,-19.8,-174.35,301.15,78,40,6.7,TO,1607394978
Mossamedes,-15.2,12.15,291.9,75,41,3.79,AO,1607394718
Omboué,-1.57,9.26,297.88,90,100,3.14,GA,1607394978
Trifeşti,47.45,27.52,270.37,95,98,1.79,RO,1607394978
Ponta Delgada,37.73,-25.67,288.15,62,75,3.1,PT,1607394978
Grindavik,63.84,-22.43,275.15,100,90,4.6,IS,1607394978
Oyama,36.3,139.8,288.15,41,20,5.1,JP,1607394978
Dalaba,10.7,-12.25,290.07,89,0,0.72,GN,1607394979
Sar-e Pul,35.83,66.17,271.47,94,76,0.1,AF,1607394979
Lincoln,40.8,-96.67,277.59,68,1,2.6,US,1607394948
Danané,7.26,-8.15,293.81,97,7,1.01,CI,1607394979
Ashington,50.93,-0.39,275.37,91,76,0.89,GB,1607394979
Port Macquarie,-31.43,152.92,300.93,33,1,7.7,AU,1607394866
Sohag,26.56,31.69,288.15,44,0,2.1,EG,1607394979
Bandon,51.75,-8.74,274.82,90,20,5.1,IE,1607394979
Vadakku Valliyūr,8.38,77.65,298.15,94,75,2.1,IN,1607394979
Sumé,-7.67,-36.88,293.74,76,12,5.82,BR,1607394979
Thap Than,15.46,99.89,297.92,62,51,2.2,TH,1607394979
Torbat-e Jām,35.24,60.62,272.52,94,81,1.01,IR,1607394980
Kapuskasing,49.42,-82.43,266.15,92,4,1.0,CA,1607394980
Yetkul',54.82,61.59,264.15,92,0,3.0,RU,1607394980
Hazorasp,41.32,61.07,259.15,77,0,3.1,UZ,1607394980
Ishimbay,53.45,56.04,262.91,96,96,2.91,RU,1607394980
Aksarka,66.56,67.8,254.07,84,0,2.41,RU,1607394980
Lixouri,38.2,20.43,287.01,67,17,2.68,GR,1607394980
Ustka,54.58,16.86,275.05,82,100,7.28,PL,1607394882
Lethem,3.38,-59.8,298.5,78,98,2.47,GY,1607394980
Kâhta,37.79,38.62,279.15,70,75,3.6,TR,1607394980
Cajaruro,-5.74,-78.43,296.19,67,96,1.22,PE,1607394980
Marystown,47.17,-55.15,277.94,79,99,7.44,CA,1607394725
Atherton,53.52,-2.49,275.37,87,100,2.29,GB,1607394884
Mabay,6.06,124.47,304.15,66,75,2.1,PH,1607394981
Macia,-25.03,33.1,292.11,97,30,0.59,MZ,1607394981
Coral Springs,26.27,-80.27,290.37,82,40,4.1,US,1607394981
Tezu,27.92,96.17,294.49,38,0,0.93,IN,1607394981
Amambai,-23.1,-55.23,293.32,87,0,0.28,BR,1607394981
Mbandaka,0.05,18.26,295.11,94,100,1.25,CD,1607394981
Sarkand,45.41,79.92,264.63,83,86,1.28,KZ,1607394981
Jacareacanga,-6.22,-57.75,296.16,96,100,0.95,BR,1607394981
Biu,10.61,12.19,294.0,24,86,3.37,NG,1607394981
Storforshei,66.4,14.52,274.82,91,100,2.68,NO,1607394981
Lumbac,7.73,124.25,299.46,79,1,1.21,PH,1607394982
Olinda,-8.01,-34.86,299.15,69,40,3.6,BR,1607394982
Coruripe,-10.13,-36.18,297.2,82,23,3.84,BR,1607394982
Beloha,-25.17,45.05,291.88,73,0,6.1,MG,1607394982
Saint George,37.1,-113.58,285.15,17,1,4.6,US,1607394804
Belaya Gora,68.53,146.42,242.05,86,100,2.43,RU,1607394982
Pathein,16.78,94.73,297.27,58,0,4.12,MM,1607394982
Opuwo,-18.06,13.84,292.02,25,20,2.68,NA,1607394982
Gogrial,8.53,28.1,295.12,25,64,2.54,SS,1607394982
Cap-Chat,49.1,-66.68,272.15,92,100,3.6,CA,1607394982
Oussouye,12.48,-16.55,295.72,62,61,2.24,SN,1607394983
Maragogi,-9.01,-35.22,297.68,80,13,3.87,BR,1607394983
Marinhais,39.05,-8.7,287.04,89,45,0.89,PT,1607394983
Suntar,62.14,117.63,247.49,88,100,1.26,RU,1607394983
Gonzalez,30.58,-87.29,281.15,61,1,4.6,US,1607394983
Yatou,37.15,122.38,276.01,72,22,2.73,CN,1607394983
Diébougou,10.97,-3.25,296.78,29,0,0.97,BF,1607394983
Ubinskoye,55.31,79.68,261.28,96,100,5.29,RU,1607394983
Mitchell,43.71,-98.03,275.15,55,1,3.6,US,1607394963
Östersund,63.18,14.64,273.71,94,100,3.6,SE,1607394983
Bac Lieu,9.29,105.72,300.79,70,27,3.79,VN,1607394983
Barreirinha,-2.79,-57.07,296.83,96,100,0.99,BR,1607394983
Brodokalmak,55.57,62.08,264.15,92,0,3.0,RU,1607394983
Springfield,37.22,-93.3,278.71,74,1,2.6,US,1607394722
Ternate,0.8,127.4,303.93,66,82,1.28,ID,1607394983
Verkhniy Naur,43.61,45.25,273.15,87,90,3.71,RU,1607394984
Saurimo,-9.66,20.39,290.85,96,100,0.82,AO,1607394984
Ust'-Kut,56.79,105.77,265.87,93,100,6.1,RU,1607394984
Yangi Marg`ilon,40.43,71.72,273.15,90,75,1.0,UZ,1607394984
Yamada,39.47,141.95,281.04,52,0,4.03,JP,1607394984
Carbonia,39.17,8.52,285.15,81,75,5.1,IT,1607394984
Edgewater,28.99,-80.9,285.15,81,20,3.1,US,1607394984
Andenes,69.31,16.12,275.15,69,100,8.7,NO,1607394984
Doka,13.52,35.77,291.49,57,28,4.79,SD,1607394984
Ostroh,50.33,26.51,268.13,87,7,6.66,UA,1607394984
Siguiri,11.67,-9.5,295.64,29,100,1.39,GN,1607394985
